Word,Class,Cluster_New
Disrepute,6,21
Nobility,6,0
Commonalty,6,0
Title,6,2
Pride,6,21
Humility,6,21
Vanity,6,21
Modesty,6,20
Ostentation,6,20
Celebration,6,8
Boasting,6,21
Insolence,6,21
Servility,6,21
Blusterer,6,0
Friendship,6,14
Enmity,6,21
Friend,6,3
Enemy,6,0
Sociality,6,20
"Seclusion, Exclusion",6,22
Courtesy,6,14
Discourtesy,6,21
Congratulation,6,15
Love,6,20
Hate,6,21
Favorite,6,0
Resentment,6,21
Irascibility,6,21
Sullenness,6,21
Endearment,6,6
Marriage,6,3
Celibacy,6,12
Divorce,6,3
Benevolence,6,14
Malevolence,6,21
Malediction,6,21
Threat,6,21
Philanthropy,6,14
Misanthropy,6,21
Benefactor,6,3
Evil doer,6,0
Pity,6,14
Pitilessness,6,21
Condolence,6,15
Gratitude,6,14
Ingratitude,6,21
Forgiveness,6,9
Revenge,6,21
Jealousy,6,21
Envy,6,21
Right,6,9
Wrong,6,19
Dueness,6,9
Undueness,6,22
Duty,6,9
Dereliction of Duty,6,22
Exemption,6,9
Exemption,6,9
Respect,6,14
Disrespect,6,21
Contempt,6,21
Approbation,6,14
Disapprobation,6,21
Flattery,6,21
Detraction,6,21
Flatterer,6,0
Detractor,6,0
Vindication,6,9
Accusation,6,9
Probity,6,14
Improbity,6,21
Knave,6,0
Disinterestedness,6,14
Selfishness,6,21
Virtue,6,14
Vice,6,21
Innocence,6,20
Guilt,6,22
Good Man,6,0
Bad Man,6,0
Penitence,6,12
Impenitence,6,21
Atonement,6,23
Temperance,6,14
Intemperance,6,20
Sensualist,6,0
Asceticism,6,12
Fasting,6,22
Gluttony,6,21
Sobriety,6,12
Drunkenness,6,16
Purity,6,20
Impurity,6,21
Libertine,6,0
Legality,6,9
Illegality,6,22
Jurisdiction,6,3
Tribunal,6,3
Judge,6,3
Lawyer,6,3
Lawsuit,6,9
Acquittal,6,9
Condemnation,6,9
Punishment,6,6
Reward,6,4
Penalty,6,4
Scourge,6,11
Deity,6,12
Angel,6,0
Satan,6,0
Jupiter,6,0
Demon,6,0
Heaven,6,12
Hell,6,16
Theology,6,12
Orthodoxy,6,12
Heterodoxy,6,12
Judeo-Christian Revelation,6,12
Pseudo-Revelation,6,12
Piety,6,12
Impiety,6,12
Irreligion,6,12
Worship,6,12
Idolatry,6,12
Sorcery,6,20
Spell,6,2
Sorcerer,6,0
Churchdom,6,12
Clergy,6,12
Laity,6,12
Rite,6,12
Canonicals,6,2
Temple,6,12
